title,systemName
Furi Definitive Edition,Nintendo Switch
G.I. Joe: Wrath Of Cobra,Nintendo Switch
Garden Story,Nintendo Switch
Gear Club Unlimited 2,Nintendo Switch
Genesis Noir,Nintendo Switch
Ghost Of A Tale,Nintendo Switch
Ghost Song,Nintendo Switch
Ghost Sync,Nintendo Switch
Ghost Trick: Phantom Detective,Nintendo Switch
Ghostbusters: The Video Game – Remastered,Nintendo Switch
Ghostrunner,Nintendo Switch
Ghosts And Apples,Nintendo Switch
Ghosts And Goblins Resurrection,Nintendo Switch
Goblin Sword,Nintendo Switch
Godstrike,Nintendo Switch
Going Under,Nintendo Switch
Golf Story,Nintendo Switch
Golf With Your Friends,Nintendo Switch
Good Job!,Nintendo Switch
Gori: Cuddly Carnage,Nintendo Switch
Gothic 2 Complete Classic,Nintendo Switch
Grand Mountain Adventure,Nintendo Switch
Grand Mountain Adventure: Wonderlands,Nintendo Switch
Grandia HD Collection,Nintendo Switch
Grapple Dog,Nintendo Switch
Graveyard Keeper,Nintendo Switch
Graveyard Keeper,Nintendo Switch
Graveyard Keeper,Nintendo Switch
Gravity Duck,Nintendo Switch
Greak: Memories Of Azur,Nintendo Switch
Grim Fandango Remastered,Nintendo Switch
Grim Fandango Remastered,Nintendo Switch
Grime,Nintendo Switch
Grime – Definitive Edition,Nintendo Switch
Gripper,Nintendo Switch
Gris,Nintendo Switch
Groove Coaster Wai Wai Party,Nintendo Switch
Grounded,Nintendo Switch
Grow: Song Of The Evertree,Nintendo Switch
Gta: San Andreas – Definitive Edition,Nintendo Switch
Guacamelee! 2,Nintendo Switch
Guacamelee! Super Turbo Championship Edition,Nintendo Switch
Guayota,Nintendo Switch
Guilty Gear Strive,Nintendo Switch
Gun Gore & Cannoli 2,Nintendo Switch
Gunman Clive HD,Nintendo Switch
Guns Of Fury,Nintendo Switch
Guns Of Fury,Nintendo Switch
Guns Of Fury,Nintendo Switch
Gunslugs,Nintendo Switch
Hades,Nintendo Switch
Hades,Nintendo Switch
Hades,Nintendo Switch
Hades,Nintendo Switch
Hades,Nintendo Switch
Hades,Nintendo Switch
Hades,Nintendo Switch
Happy’s Humble Burger Farm,Nintendo Switch
Hatsune Miku: Project Diva Mega Mix,Nintendo Switch
Have A Nice Death,Nintendo Switch
Have A Nice Death,Nintendo Switch
Heavenly Bodies,Nintendo Switch
Heavenly Bodies,Nintendo Switch
Hell Is Other Demons,Nintendo Switch
Hell Pie,Nintendo Switch
Hellblade: Senua’s Sacrifice,Nintendo Switch
Hellboy Web Of Wyrd,Nintendo Switch
Hello Kitty Island Adventure,Nintendo Switch
Hello Neighbor,Nintendo Switch
Hellpoint,Nintendo Switch
Heretic’s Fork,Nintendo Switch
High On Life,Nintendo Switch
Hitman Blood Money Reprisal,Nintendo Switch
Hitman Blood Money Reprisal,Nintendo Switch
Hob: The Definitive Edition,Nintendo Switch
Hogwarts Legacy: Deluxe Edition,Nintendo Switch
Hollow Knight,Nintendo Switch
Hollow Knight,Nintendo Switch
Hollow Knight,Nintendo Switch
Horizon Chase 2,Nintendo Switch
Horizon Chase Turbo,Nintendo Switch
Hotline Miami 1 & 2,Nintendo Switch
Hotline Miami 1 & 2,Nintendo Switch
Hotline Miami 1 & 2,Nintendo Switch
Hotshot Racing,Nintendo Switch
Hotshot Racing,Nintendo Switch
Hotshot Racing,Nintendo Switch
Hue,Nintendo Switch
Huntdown,Nintendo Switch
Hunter X,Nintendo Switch
Hunterxhunter Nenximpact,Nintendo Switch
Hyper Light Drifter,Nintendo Switch
Hypnospace Outlaw,Nintendo Switch
Hyrule Warriors: Age Of Calamity,Nintendo Switch
Hyrule Warriors: Definitive Edition,Nintendo Switch
Hyrule Warriors: Definitive Edition,Nintendo Switch
I Am The Hero,Nintendo Switch
Iconoclasts,Nintendo Switch
Ikenfell,Nintendo Switch
Immortals Fenyx Rising,Nintendo Switch
In Other Waters,Nintendo Switch
In Sound Mind,Nintendo Switch
Inmost,Nintendo Switch
Inscryption,Nintendo Switch
Inscryption,Nintendo Switch
Inside,Nintendo Switch
Into The Breach,Nintendo Switch
Into The Breach,Nintendo Switch
Inukari – Chase Of Deception,Nintendo Switch
Iris And The Giant,Nintendo Switch
Iron Meat,Nintendo Switch
Ironfall Invasion,Nintendo Switch
Islanders,Nintendo Switch
It Takes Two,Nintendo Switch
Ittle Dew,Nintendo Switch
Jack Move,Nintendo Switch
Jamestown+,Nintendo Switch
Jet Lancer,Nintendo Switch
Jet Lancer,Nintendo Switch
John Wick Hex,Nintendo Switch
Jojo’s Bizarre Adventure: All-Star Battle R Deluxe Edition,Nintendo Switch
Jujutsu Kaisen Cursed Clash,Nintendo Switch
Jurassic World Evolution,Nintendo Switch
Just Shapes & Beats,Nintendo Switch
Kamen Rider Memory Of Heroez,Nintendo Switch
Kamen Rider Memory Of Heroez Premium Sound Edition,Nintendo Switch
Kamen Rider Memory Of Heroez Sound Edition,Nintendo Switch
Kamibako – Mythology Of Cube,Nintendo Switch
Kamiko,Nintendo Switch
Kanjozoku 2,Nintendo Switch
Katamari Damacy Reroll,Nintendo Switch
Katana Zero,Nintendo Switch
Katana Zero,Nintendo Switch
Katrielle And The Millionaires’ Conspiracy,Nintendo Switch
Kaze And The Wild Masks,Nintendo Switch
Keeper’s Toll,Nintendo Switch
Keeper’s Toll,Nintendo Switch
Kero Blaster,Nintendo Switch
Kill Knight,Nintendo Switch
Kill The Crows,Nintendo Switch
Kill The Crows,Nintendo Switch
King Krieg Survivors,Nintendo Switch
Kingdom 2 Crowns,Nintendo Switch
Kirby And The Forgotten Land,Nintendo Switch
Kirby And The Forgotten Land,Nintendo Switch
Kirby And The Forgotten Land,Nintendo Switch
Kirby And The Forgotten Land,Nintendo Switch
Kirby Star Allies,Nintendo Switch
Kirby Star Allies,Nintendo Switch
Kirby’s Dream Buffet,Nintendo Switch
Kirby’s Return To Dreamland Deluxe,Nintendo Switch
Klonoa Phantasy Reveire Series,Nintendo Switch
Kudzu,Nintendo Switch
La Noire,Nintendo Switch
Lacuna,Nintendo Switch
Legacy Of Kain Soul Reaver 1&2 Remastered,Nintendo Switch
Legend Of Grimrock,Nintendo Switch
Legend Of Zelda – Links Awakening,Nintendo Switch
Legend Of Zelda – Links Awakening,Nintendo Switch
Legend Of Zelda – Links Awakening,Nintendo Switch
Legend Of Zelda: Breath Of The Wild,Nintendo Switch
Lego Builder’s Journey,Nintendo Switch
Lego City Undercover,Nintendo Switch
Lego Harry Potter Collection,Nintendo Switch
Lego Jurassic World,Nintendo Switch
Lego Marvel Superheroes,Nintendo Switch
Lego Marvel Superheroes 2,Nintendo Switch
Lego Star Wars: The Skywalker Saga,Nintendo Switch
Leo’s Fortune,Nintendo Switch
Leo’s Fortune,Nintendo Switch
Life Is Strange Double Exposure,Nintendo Switch
Life Is Strange Remastered,Nintendo Switch
Life Is Strange: Before The Storm Remastered,Nintendo Switch
Link’s Awakening,Nintendo Switch
"Little Kitty, Big City",Nintendo Switch
Little Nightmares,Nintendo Switch
Little Nightmares Ii,Nintendo Switch
Littlewood,Nintendo Switch
Live A Live,Nintendo Switch
Live A Live,Nintendo Switch
Live A Live,Nintendo Switch
Live A Live,Nintendo Switch
Llamasoft: The Jeff Minter Collection,Nintendo Switch
Loco Motive,Nintendo Switch
Lollipop Chainsaw Repro,Nintendo Switch
Lone Fungus,Nintendo Switch
Lone Ruin,Nintendo Switch
Lonely Mountains Downhill,Nintendo Switch
Lonely Mountains Downhill,Nintendo Switch
Lonely Mountains Downhill,Nintendo Switch
Lost In Random,Nintendo Switch
